Date,Type,Cost,Value
2017-01-31,Rebalance,72090.31913796911,205972340.39419746
2017-02-28,Rebalance,74320.4179214824,212344051.20423543
2017-03-31,Rebalance,75157.63727405158,214736106.49729022
2017-05-31,Rebalance,78627.6501484662,224650428.99561772
2017-06-30,Rebalance,77349.21468593118,220997756.24551764
2017-07-31,Rebalance,79528.0075758594,227222878.7881697
2017-08-31,Rebalance,81078.36388068485,231652468.23052815
2017-10-31,Rebalance,82688.21221232347,236252034.8923528
2017-11-30,Rebalance,83640.50804913485,238972880.1403853
2018-01-31,Rebalance,88610.86925215095,253173912.14900273
2018-02-28,Rebalance,87433.10165127953,249808861.8607987
2018-04-30,Rebalance,85443.4394274657,244124112.649902
2018-05-31,Rebalance,88394.48400719893,252555668.59199697
2018-07-31,Rebalance,90000.60137230347,257144575.3494385
2018-08-31,Rebalance,93078.86475660882,265939613.5903109
2018-10-31,Rebalance,87844.61676055715,250984619.3158776
2018-11-30,Rebalance,87871.62982448468,251061799.49852768
2018-12-31,Rebalance,84203.02673488639,240580076.38538966
2019-01-31,Rebalance,89249.69949049862,254999141.40142462
2019-02-28,Rebalance,90741.73095488625,259262088.44253215
2019-04-30,Rebalance,96275.02587954242,275071502.5129783
2019-05-31,Rebalance,92186.75869577102,263390739.13077435
2019-07-31,Rebalance,98867.35368523702,282478153.38639146
2019-09-30,Rebalance,99308.47661112229,283738504.6032065
2019-10-31,Rebalance,102230.80929598704,292088026.559963
2019-12-31,Rebalance,107170.11845366455,306200338.43904155
2020-01-31,Rebalance,110205.03511396889,314871528.89705396
2020-03-31,Rebalance,101611.96830407172,290319909.4402049
2020-04-30,Rebalance,112284.48085253399,320812802.4358114
2020-06-30,Rebalance,122266.01422237398,349331469.2067828
2020-07-31,Rebalance,129465.20662641642,369900590.3611898
2020-08-31,Rebalance,137514.01279640105,392897179.4182887
2020-09-30,Rebalance,132083.74956681472,377382141.61947066
2020-11-30,Rebalance,137728.42154000566,393509775.8285876
