Date,Portfolio,Cash,QQQ,QQQ_holdings,BND,BND_holdings,GLD,GLD_holdings
2010-02-16,97576642.12650858,-35000.0,57285661.301906005,1490810.816241632,30342374.294563666,620712.9415750093,9983606.530038903,91074.67870730546
2010-02-17,97797241.05157179,-35000.0,57608807.558163956,1490810.816241632,30273524.844634708,620712.9415750093,9949908.64877312,91074.67870730546
2010-02-18,98183532.71118793,-35000.0,57970704.97753022,1490810.816241632,30231434.263696607,620712.9415750093,10016393.469961103,91074.67870730546
2010-02-19,98111248.42608783,-35000.0,57944868.97312735,1490810.816241632,30231434.263696607,620712.9415750093,9969945.189263873,91074.67870730546
2010-02-22,97946999.90690914,-35000.0,57828541.55290708,1490810.816241632,30219943.17519005,620712.9415750093,9933515.17881202,91074.67870730546
2010-02-23,97204583.00887017,-35000.0,57078831.09188445,1490810.816241632,30334704.8868421,620712.9415750093,9826047.030143613,91074.67870730546
2010-02-24,97776228.56871301,-35000.0,57660508.00192941,1490810.816241632,30372943.005179714,620712.9415750093,9777777.561603887,91074.67870730546
2010-02-25,97891903.81246799,-35000.0,57647581.46924007,1490810.816241632,30415024.11478997,620712.9415750093,9864298.228437966,91074.67870730546
2010-02-26,98235154.32936223,-35000.0,57854383.24430189,1490810.816241632,30449468.966326118,620712.9415750093,9966302.118734222,91074.67870730546
2010-03-01,99107525.52927156,-35000.0,58694528.25122249,1490810.816241632,30481695.15931484,620712.9415750093,9966302.118734222,91074.67870730546
2010-03-02,99456288.9860587,-35000.0,58875494.02188146,1490810.816241632,30504684.439823844,620712.9415750093,10111110.524353404,91074.67870730546
2010-03-03,99580307.45988932,-35000.0,58940120.998336285,1490810.816241632,30508520.327600606,620712.9415750093,10166666.133952431,91074.67870730546
2010-03-04,99724354.81251113,-35000.0,59134007.61469265,1490810.816241632,30531540.3899251,620712.9415750093,10093806.80789338,91074.67870730546
2010-03-05,100568338.72103696,-35000.0,60025841.69139481,1490810.816241632,30485512.10443591,620712.9415750093,10091984.92520623,91074.67870730546
2010-03-08,100550109.61347178,-35000.0,60142197.54657481,1490810.816241632,30435626.62068232,620712.9415750093,10007285.446214646,91074.67870730546
