Date,Close,High,Low,Open,Volume,MA20,MA55,MA120,MA200,EMA20,EMA55,EMA120,EMA200,RSI14,DISPARITY60,MACD,MACD_SIGNAL,MACD_HIST,STOCH_K,STOCH_D,ROC252,ROC5,ROC20,ROC40,ROC60,ROC90,ROC120,EMA20_SLOPE5,EMA200_SLOPE20,DRAWDOWN120,TR,ATR,ATR60,BB_MIDDLE,BB_UPPER,BB_LOWER,VOL60,MDD252
2012-01-03,155.9199981689453,156.3000030517578,154.5500030517578,154.75999450683594,13385800,,,,,155.9199981689453,155.9199981689453,155.9199981689453,155.9199981689453,,,0.0,0.0,0.0,,,,,,,,,,,,,1.75,,,,,,,
2012-01-04,156.7100067138672,157.3800048828125,155.33999633789062,155.42999267578125,11549700,,,,,155.9952370779855,155.9482127598354,155.93305616142337,155.9278589504868,,,0.06302062466616576,0.012604124933233152,0.05041649973293261,,,,,,,,,,,,,2.040008544921875,,,,,,,
2012-01-05,157.77999877929688,158.02999877929688,155.25,155.3699951171875,11621600,,,,,156.1652143828723,156.01363368910188,155.9635841385783,155.94628820251478,,,0.1970330665936615,0.04948991326531882,0.14754315332834267,,,,,,,,,,,,,2.779998779296875,,,,,,,
2012-01-06,157.1999969482422,158.6300048828125,156.3800048828125,158.58999633789062,9790500,,,,,156.26376510338372,156.05600380549976,155.9840207139447,155.95876291640263,,,0.2535152261211806,0.09029497583649118,0.16322025028468942,,,,,,,,,,,,,2.25,,,,,,,
2012-01-09,156.5,157.58999633789062,156.19000244140625,157.36000061035156,8771900,,,,,156.2862636649662,156.0718608124462,155.9925492971853,155.96414836002054,,,0.23903835550805752,0.12004365177080445,0.11899470373725307,,,,,,,,,,,,,1.399993896484375,,,,,,,
2012-01-10,158.63999938964844,159.47000122070312,158.47000122070312,158.97000122070312,8371400,,,,,156.5104289720788,156.16358004734627,156.03630880284587,155.99077374339993,,,0.3956841961619375,0.17517176064903106,0.22051243551290645,,,,1.7444851543391593,,,,,,0.37867548105903204,,,2.970001220703125,,,,,,,
2012-01-11,159.6699981689453,160.0500030517578,158.91000366210938,159.33999633789062,7968500,,,,,156.81134032416134,156.2888092659748,156.09636978410373,156.02738294166406,,,0.5960683420750286,0.25935107693423054,0.336717265140798,,,,1.8888337236068864,,,,,,0.5231590793812746,,,1.410003662109375,,,,,,,
2012-01-12,160.3800048828125,161.6199951171875,159.8300018310547,161.02000427246094,8602500,,,,,157.15121313927096,156.43492339514756,156.1671736700328,156.07069261272028,,,0.8029103783886171,0.36806293722510786,0.43484744116350926,,,,1.6478679957099729,,,,,,0.6313818095118551,,,1.9499969482421875,,,,,,,
2012-01-13,159.25999450683594,159.58999633789062,158.00999450683594,159.32000732421875,8910300,,,,,157.35204945999146,156.5358187919936,156.21829467559982,156.10242695992542,,,0.8664705719650954,0.46774446417310533,0.39872610779199,,,,1.3104310423568188,,,,,,0.6964406341340545,,,2.3700103759765625,,,,,,,
2012-01-17,160.5,161.64999389648438,160.4199981689453,161.1699981689453,8313300,,,,,157.6518542733256,156.67739669227953,156.28906666443288,156.14618390559784,,,1.005311953031395,0.5752579619447633,0.43005399108663167,,,,2.5559105431310014,,,,,,0.8737751970875784,,,2.3899993896484375,,,,,,,
