Date,Close,High,Low,Open,Volume,MA20,MA55,MA120,MA200,EMA20,EMA55,EMA120,EMA200,RSI14,DISPARITY60,MACD,MACD_SIGNAL,MACD_HIST,STOCH_K,STOCH_D,ROC252,ROC5,ROC20,ROC40,ROC60,ROC90,ROC120,EMA20_SLOPE5,EMA200_SLOPE20,DRAWDOWN120,TR,ATR,ATR60,BB_MIDDLE,BB_UPPER,BB_LOWER,VOL60,MDD252
2012-01-02,1159.4000244140625,1162.5999755859375,1153.5999755859375,1159.5,0,,,,,1159.4000244140625,1159.4000244140625,1159.4000244140625,1159.4000244140625,,,0.0,0.0,0.0,,,,,,,,,,,,,9.0,,,,,,,
2012-01-03,1152.5999755859375,1153.1500244140625,1146.449951171875,1152.800048828125,0,,,,,1158.752400716146,1159.1571655273438,1159.2876269127712,1159.3323622366681,,,-0.5424540375711331,-0.10849080751422663,-0.43396323005690646,,,,,,,,,,,,,12.9500732421875,,,,,,,
2012-01-04,1144.800048828125,1150.699951171875,1144.5999755859375,1144.699951171875,0,,,,,1157.4236052982392,1158.6444113595146,1159.0481628121986,1159.1877621032497,,,-1.5834882068033949,-0.40349028737206033,-1.1799979194313346,,,,,,,,,,,,,8.0,,,,,,,
2012-01-05,1147.199951171875,1155.0,1146.300048828125,1147.199951171875,0,,,,,1156.4499239528711,1158.2356806385276,1158.8523246032678,1159.06848040244,,,-2.189622617306668,-0.7607167533589818,-1.4289058639476862,,,,,,,,,,,,,10.199951171875,,,,,,,
2012-01-06,1153.4000244140625,1162.0999755859375,1153.0,1153.5999755859375,0,,,,,1156.1594573301275,1158.062978630511,1158.7622039389835,1159.012077855292,,,-2.144968547899225,-1.0375671122670305,-1.1074014356321946,,,,,,,,,,,,,14.9000244140625,,,,,,,
2012-01-09,1163.5999755859375,1163.699951171875,1156.949951171875,1163.699951171875,0,,,,,1156.868078116395,1158.2607285217762,1158.8421671067017,1159.05772857898,,,-1.2718677613145246,-1.0844272420765293,-0.18744051923799532,,,,0.36225212035834176,,,,,,-0.21838418529851467,,,10.2999267578125,,,,,,,
2012-01-10,1156.199951171875,1157.199951171875,1152.300048828125,1156.0999755859375,0,,,,,1156.8044469788217,1158.1871293307083,1158.7984941160435,1159.0292929828893,,,-1.16363555686371,-1.1002689050339656,-0.06336665182974444,,,,0.312335212753001,,,,,,-0.16810784910740173,,,11.2999267578125,,,,,,,
2012-01-11,1156.0999755859375,1161.0,1155.050048828125,1155.5,0,,,,,1156.7373544652137,1158.112588125538,1158.7538905039758,1159.0001455461038,,,-1.0735527020342488,-1.0949256644340224,0.0213729623997736,,,,0.9870655377224757,,,,,,-0.059291242193793,,,5.949951171875,,,,,,,
2012-01-12,1155.800048828125,1159.0,1153.5,1155.800048828125,0,,,,,1156.6480872616814,1158.0299974363445,1158.705066674623,1158.968303787716,,,-1.0146665291922545,-1.078873837385669,0.06420730819341447,,,,0.7496598694469059,,,,,,0.017135485480679336,,,5.5,,,,,,,
2012-01-13,1150.5999755859375,1153.199951171875,1144.75,1150.699951171875,0,,,,,1156.0720766258964,1157.7646395131158,1158.571098226876,1158.8850368404346,,,-1.3717881449556444,-1.1374566988996642,-0.23433144605598022,,,,-0.24276476234231792,,,,,,-0.007557841928895748,,,11.050048828125,,,,,,,
2012-01-16,1153.5,1155.0999755859375,1150.25,1153.5999755859375,0,,,,,1155.8271169472396,1157.612330959076,1158.487278421473,1158.8314543843107,,,-1.4046103904292977,-1.1908874372055909,-0.21372295322370682,,,,-0.8679937949338301,,,,,,-0.08998097439514297,,,4.8499755859375,,,,,,,
2012-01-17,1151.5999755859375,1151.5999755859375,1140.8499755859375,1151.5,0,,,,,1155.424532055687,1157.3976039814638,1158.3734387051834,1158.7594993713917,,,-1.5658877680284604,-1.2658875033701649,-0.30000026465829555,,,,-0.3978529476043602,,,,,,-0.11928679274518794,,,12.6500244140625,,,,,,,
2012-01-18,1142.4000244140625,1142.5999755859375,1136.800048828125,1142.199951171875,0,,,,,1154.1841027564847,1156.8619761397708,1158.1094153284707,1158.5967185260454,,,-2.4082990517326834,-1.4943698130426686,-0.9139292386900149,,,,-1.185014398510953,,,,,,-0.22072873317983133,,,14.7999267578125,,,,,,,
2012-01-19,1135.0999755859375,1137.800048828125,1132.8499755859375,1134.9000244140625,0,,,,,1152.3665668354802,1156.0847618342768,1157.7290940104124,1158.3629200888306,,,-3.6232029662605783,-1.9201364436862507,-1.7030665225743276,7.293360715091227,,,-1.7909735566437712,,,,,,-0.37016621333266775,,,9.550048828125,10.071419852120536,,,,,,
