Date,Close,High,Low,Open,Volume,MA20,MA55,MA120,MA200,EMA20,EMA55,EMA120,EMA200,RSI14,DISPARITY60,MACD,MACD_SIGNAL,MACD_HIST,STOCH_K,STOCH_D,ROC252,ROC5,ROC20,ROC40,ROC60,ROC90,ROC120,EMA20_SLOPE5,EMA200_SLOPE20,DRAWDOWN120,TR,ATR,ATR60,BB_MIDDLE,BB_UPPER,BB_LOWER,VOL60,MDD252
2012-01-03,54.969451904296875,55.06846129170361,54.9034473246346,55.06846129170361,2282600,,,,,54.969451904296875,54.969451904296875,54.969451904296875,54.969451904296875,,,0.0,0.0,0.0,,,,,,,,,,,,,0.16501396706901517,,,,,,,
2012-01-04,54.99580383300781,55.022206647596626,54.92319735184407,54.99580383300781,2227400,,,,,54.971961611793155,54.97039304460798,54.96988747336648,54.96971411254276,,,0.0021021481592740088,0.00042042963185480177,0.001681718527419207,,,,,,,,,,,,,0.09900929575255901,,,,,,,
2012-01-05,54.976036071777344,55.055244563220356,54.92983237739183,54.98263803835385,1194800,,,,,54.97234965560117,54.9705945812926,54.96998910309228,54.96977701760977,,,0.0021482588051711105,0.0007659954665180635,0.001382263338653047,,,,,,,,,,,,,0.1254121858285231,,,,,,,
2012-01-06,55.00900650024414,55.08161298639428,54.97600675660828,54.98920564689816,1053000,,,,,54.975840783662406,54.97196643554087,54.97063401874768,54.97016736072056,,,0.004790023447547753,0.0015708010627240015,0.0032192223848237517,,,,,,,,,,,,,0.1056062297860052,,,,,,,
2012-01-09,55.05523681640625,55.14764419217464,55.00902809269777,55.00902809269777,833800,,,,,54.98340231059039,54.97494037771463,54.97203241209741,54.97101382296619,,,0.010493083377468793,0.00335525752567296,0.007137825851795832,,,,,,,,,,,,,0.1386376919304979,,,,,,,
2012-01-10,55.02885437011719,55.11465981201692,55.00904846583925,55.061854138928084,964100,,,,,54.98773107816437,54.976865877443295,54.972971618015094,54.97158935079854,,,0.012737130816560693,0.005231632183850507,0.0075054986327101865,,,,0.10806450448830329,,,,,,0.03325333113985973,,,0.10561134617766754,,,,,,,
2012-01-11,55.160865783691406,55.17406468459291,55.08165727080331,55.121264045160544,853400,,,,,55.004220097738376,54.983437302666445,54.97607730670396,54.973472698389514,,,0.024880960168594868,0.00916149778079938,0.015719462387795487,,,,0.30013553613070787,,,,,,0.05868170790961358,,,0.14521031447572597,,,,,,,
2012-01-12,55.0816535949707,55.21366777430766,55.02885295906194,55.21366777430766,2047900,,,,,55.01159471652241,54.9869450273916,54.97782236931994,54.97454912522117,,,0.027792891641396977,0.012887776552918898,0.014905115088478079,,,,0.1921155665997265,,,,,,0.07139054664226929,,,0.18481481524571564,,,,,,,
2012-01-13,55.24666213989258,55.29946780646368,55.1740556073137,55.24666213989258,889100,,,,,55.033982090176714,54.996220638552344,54.98226600189139,54.97725671740696,,,0.04292066613218992,0.018894354468773106,0.024026311663416816,,,,0.4320304160508437,,,,,,0.10575792145335328,,,0.21781421149297842,,,,,,,
2012-01-17,55.2004508972168,55.32586307922866,55.19385396666606,55.29285828317558,878100,,,,,55.04983626227577,55.003514576361795,54.9858723637976,54.979477555017006,,,0.05059741976614163,0.02523496752824681,0.025362452237894816,,,,0.2637607050802293,,,,,,0.12082546531060334,,,0.13200911256259928,,,,,,,
